latitude,longitude,crime_count,normalized_crime_count
0.0,-127.48874388438705,3144,1.0
49.20186124512429,-123.13517047094271,1,0.0
49.20193899146658,-123.12588619067854,1,0.0
49.20218118019719,-123.1336530959101,1,0.0
49.202186093691445,-123.13399448008884,1,0.0
49.20219106320962,-123.1343378728348,1,0.0
49.20297175907694,-123.1419434833125,2,0.0003181673560292714
49.20300622115311,-123.12677195955715,1,0.0
49.20307996563473,-123.1269921435752,1,0.0
49.20311767387249,-123.13542089928083,1,0.0
49.20312127019458,-123.13516440142746,1,0.0
49.20338850033441,-123.13471438701555,1,0.0
49.2039510996889,-123.13678249964491,1,0.0
49.204233031213064,-123.1334903624481,4,0.0009545020680878141
49.20423384450475,-123.13353539712242,1,0.0
49.20426108792501,-123.13495615055555,2,0.0003181673560292714
49.20428764369164,-123.13565506383945,1,0.0
49.20428831676743,-123.02342563857901,1,0.0
49.20429233259777,-123.1364701336327,1,0.0
49.20429501095517,-123.13646822454969,6,0.0015908367801463568
49.204315794672226,-123.13342617671539,1,0.0
49.20444406322898,-123.14274567490257,1,0.0
49.204445295328455,-123.13898869715499,1,0.0
49.20445266477602,-123.13900697085285,2,0.0003181673560292714
49.20447104945066,-123.14307040181248,2,0.0003181673560292714
49.20448233001282,-123.13170192263208,1,0.0
49.20451181692694,-123.13058296015176,1,0.0
49.204512768413885,-123.02560360102626,1,0.0
49.204519920834585,-123.139053305484,1,0.0
49.204564996048425,-123.13101287272305,3,0.0006363347120585427
49.204565464583226,-123.13101139268245,1,0.0
49.20458802237739,-123.13351470549003,1,0.0
49.20461505952764,-123.13351316795772,1,0.0
49.20462210920179,-123.13942717939427,1,0.0
49.20462227063109,-123.13942758208641,2,0.0003181673560292714
49.20465286964773,-123.02599249507152,2,0.0003181673560292714
49.20480363834552,-123.12459979921046,1,0.0
49.204928913926345,-123.02850430688413,1,0.0
49.20498089983259,-123.12940355579477,1,0.0
49.20505479873237,-123.12248640419352,1,0.0
49.205061240766234,-123.129952901015,2,0.0003181673560292714
49.20510776524291,-123.1420729908699,1,0.0
49.20511572896231,-123.14088755764617,2,0.0003181673560292714
49.20521994323219,-123.12485158406932,1,0.0
49.20524448658476,-123.12487517778068,1,0.0
49.20524943474083,-123.03257179168946,1,0.0
49.20530003108423,-123.03323940927453,1,0.0
49.205319115205405,-123.13632103330983,1,0.0
49.20531921114533,-123.02359705444634,1,0.0
49.205348269918815,-123.13619441066746,1,0.0
49.20538060977592,-123.13886205128637,1,0.0
49.20547933381611,-123.03114988697855,1,0.0
49.20548430430893,-123.14521050920916,1,0.0
49.20557961095529,-123.13618605934072,1,0.0
49.20559953369065,-123.13618533976509,1,0.0
49.2056424973582,-123.13341101102785,1,0.0
49.20567973499441,-123.02823706457725,1,0.0
49.20569696143032,-123.11681504683649,1,0.0
49.20571063985332,-123.13777681083299,2,0.0003181673560292714
49.20574861875931,-123.05256436935662,1,0.0
49.20575709559548,-123.03097717336834,5,0.0012726694241170856
49.20578237605449,-123.02813281049622,1,0.0
49.20579009316355,-123.02925513091724,1,0.0
49.205790202235626,-123.12312420861491,1,0.0
49.205795075729874,-123.05816995770648,1,0.0
49.20580262615068,-123.14286922210827,1,0.0
49.20584900162962,-123.042366215992,1,0.0
